START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/27/14,12:05 PM,03:05 PM,Brewers at Athletics,Phoenix Municipal Stadium,"Local Radio: MLB.com",02/27/14,02/27/14,03:05 PM,06:05 PM,FALSE,TRUE,02/27/14,11:05 AM,02:05 PM,FREE,BUSY
02/28/14,12:05 PM,03:05 PM,Giants at Athletics,Phoenix Municipal Stadium,"Local Radio: A's Radio Net",02/28/14,02/28/14,03:05 PM,06:05 PM,FALSE,TRUE,02/28/14,11:05 AM,02:05 PM,FREE,BUSY
03/01/14,12:05 PM,03:05 PM,Rangers at Athletics,Phoenix Municipal Stadium,"Local Radio: A's Radio Net",03/01/14,03/01/14,03:05 PM,06:05 PM,FALSE,TRUE,03/01/14,11:05 AM,02:05 PM,FREE,BUSY
03/03/14,12:05 PM,03:05 PM,Dodgers at Athletics,Phoenix Municipal Stadium,"Local TV: MLBN (delay) ----- Local Radio: MLB.com",03/03/14,03/03/14,03:05 PM,06:05 PM,FALSE,TRUE,03/03/14,11:05 AM,02:05 PM,FREE,BUSY
03/04/14,12:05 PM,03:05 PM,Brewers at Athletics,Phoenix Municipal Stadium,"Local Radio: MLB.com",03/04/14,03/04/14,03:05 PM,06:05 PM,FALSE,TRUE,03/04/14,11:05 AM,02:05 PM,FREE,BUSY
03/07/14,12:05 PM,03:05 PM,D-backs at Athletics,Phoenix Municipal Stadium,"Local Radio: MLB.com",03/07/14,03/07/14,03:05 PM,06:05 PM,FALSE,TRUE,03/07/14,11:05 AM,02:05 PM,FREE,BUSY
03/09/14,01:05 PM,04:05 PM,White Sox at Athletics,Phoenix Municipal Stadium,"Local Radio: A's Radio Net",03/09/14,03/09/14,04:05 PM,07:05 PM,FALSE,TRUE,03/09/14,12:05 PM,03:05 PM,FREE,BUSY
03/12/14,01:05 PM,04:05 PM,Royals at Athletics,Phoenix Municipal Stadium,"Local Radio: MLB.com",03/12/14,03/12/14,04:05 PM,07:05 PM,FALSE,TRUE,03/12/14,12:05 PM,03:05 PM,FREE,BUSY
03/13/14,07:05 PM,10:05 PM,Rockies at Athletics,Phoenix Municipal Stadium,"Local TV: CSNCA -- MLBN ----- Local Radio: A's Radio Net",03/13/14,03/14/14,10:05 PM,01:05 AM,FALSE,TRUE,03/13/14,06:05 PM,09:05 PM,FREE,BUSY
03/15/14,01:05 PM,04:05 PM,Rangers at Athletics,Phoenix Municipal Stadium,"Local Radio: A's Radio Net",03/15/14,03/15/14,04:05 PM,07:05 PM,FALSE,TRUE,03/15/14,12:05 PM,03:05 PM,FREE,BUSY
03/17/14,01:05 PM,04:05 PM,Cubs at Athletics,Phoenix Municipal Stadium,"Local Radio: MLB.com",03/17/14,03/17/14,04:05 PM,07:05 PM,FALSE,TRUE,03/17/14,12:05 PM,03:05 PM,FREE,BUSY
03/22/14,01:05 PM,04:05 PM,Mariners at Athletics,Phoenix Municipal Stadium,"Local Radio: A's Radio Net",03/22/14,03/22/14,04:05 PM,07:05 PM,FALSE,TRUE,03/22/14,12:05 PM,03:05 PM,FREE,BUSY
03/23/14,01:05 PM,04:05 PM,Cubs at Athletics,Phoenix Municipal Stadium,"Local Radio: 95.7 FM The Game -- A's Radio Net",03/23/14,03/23/14,04:05 PM,07:05 PM,FALSE,TRUE,03/23/14,12:05 PM,03:05 PM,FREE,BUSY
03/25/14,01:05 PM,04:05 PM,Reds at Athletics,Phoenix Municipal Stadium,"Local Radio: MLB.com",03/25/14,03/25/14,04:05 PM,07:05 PM,FALSE,TRUE,03/25/14,12:05 PM,03:05 PM,FREE,BUSY
03/26/14,12:05 PM,03:05 PM,Angels at Athletics,Phoenix Municipal Stadium,"Local Radio: MLB.com",03/26/14,03/26/14,03:05 PM,06:05 PM,FALSE,TRUE,03/26/14,11:05 AM,02:05 PM,FREE,BUSY
03/29/14,01:05 PM,04:05 PM,Giants at Athletics,O.co Coliseum,"Local Radio: A's Radio Net",03/29/14,03/29/14,04:05 PM,07:05 PM,FALSE,TRUE,03/29/14,12:05 PM,03:05 PM,FREE,BUSY
03/31/14,07:05 PM,10:05 PM,Indians at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",03/31/14,04/01/14,10:05 PM,01:05 AM,FALSE,TRUE,03/31/14,06:05 PM,09:05 PM,FREE,BUSY
04/02/14,12:35 PM,03:35 PM,Indians at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game",04/02/14,04/02/14,03:35 PM,06:35 PM,FALSE,TRUE,04/02/14,11:35 AM,02:35 PM,FREE,BUSY
04/02/14,06:00 PM,09:00 PM,Indians at Athletics,O.co Coliseum,"Local TV: CSNCA -- MLBN ----- Local Radio: 95.7 FM The Game -- KIQI 1010",04/02/14,04/03/14,09:00 PM,12:00 AM,FALSE,TRUE,04/02/14,05:00 PM,08:00 PM,FREE,BUSY
04/03/14,07:05 PM,10:05 PM,Mariners at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",04/03/14,04/04/14,10:05 PM,01:05 AM,FALSE,TRUE,04/03/14,06:05 PM,09:05 PM,FREE,BUSY
04/05/14,01:05 PM,04:05 PM,Mariners at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",04/05/14,04/05/14,04:05 PM,07:05 PM,FALSE,TRUE,04/05/14,12:05 PM,03:05 PM,FREE,BUSY
04/06/14,01:05 PM,04:05 PM,Mariners at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",04/06/14,04/06/14,04:05 PM,07:05 PM,FALSE,TRUE,04/06/14,12:05 PM,03:05 PM,FREE,BUSY
04/18/14,07:05 PM,10:05 PM,Astros at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",04/18/14,04/19/14,10:05 PM,01:05 AM,FALSE,TRUE,04/18/14,06:05 PM,09:05 PM,FREE,BUSY
04/19/14,01:05 PM,04:05 PM,Astros at Athletics,O.co Coliseum,"Local TV: CSNCA -- MLBN ----- Local Radio: 95.7 FM The Game -- KIQI 1010",04/19/14,04/19/14,04:05 PM,07:05 PM,FALSE,TRUE,04/19/14,12:05 PM,03:05 PM,FREE,BUSY
04/20/14,01:05 PM,04:05 PM,Astros at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game",04/20/14,04/20/14,04:05 PM,07:05 PM,FALSE,TRUE,04/20/14,12:05 PM,03:05 PM,FREE,BUSY
04/21/14,07:05 PM,10:05 PM,Rangers at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",04/21/14,04/22/14,10:05 PM,01:05 AM,FALSE,TRUE,04/21/14,06:05 PM,09:05 PM,FREE,BUSY
04/22/14,07:05 PM,10:05 PM,Rangers at Athletics,O.co Coliseum,"Local TV: CSNCA+ ----- Local Radio: 95.7 FM The Game -- KIQI 1010",04/22/14,04/23/14,10:05 PM,01:05 AM,FALSE,TRUE,04/22/14,06:05 PM,09:05 PM,FREE,BUSY
04/23/14,12:35 PM,03:35 PM,Rangers at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game",04/23/14,04/23/14,03:35 PM,06:35 PM,FALSE,TRUE,04/23/14,11:35 AM,02:35 PM,FREE,BUSY
05/05/14,07:05 PM,10:05 PM,Mariners at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",05/05/14,05/06/14,10:05 PM,01:05 AM,FALSE,TRUE,05/05/14,06:05 PM,09:05 PM,FREE,BUSY
05/06/14,07:05 PM,10:05 PM,Mariners at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",05/06/14,05/07/14,10:05 PM,01:05 AM,FALSE,TRUE,05/06/14,06:05 PM,09:05 PM,FREE,BUSY
05/07/14,12:35 PM,03:35 PM,Mariners at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game",05/07/14,05/07/14,03:35 PM,06:35 PM,FALSE,TRUE,05/07/14,11:35 AM,02:35 PM,FREE,BUSY
05/07/14,03:33 AM,03:33 AM,Mariners at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game",05/07/14,05/07/14,06:33 AM,06:33 AM,FALSE,TRUE,05/07/14,02:33 AM,02:33 AM,FREE,BUSY
05/09/14,07:05 PM,10:05 PM,Nationals at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",05/09/14,05/10/14,10:05 PM,01:05 AM,FALSE,TRUE,05/09/14,06:05 PM,09:05 PM,FREE,BUSY
05/10/14,06:05 PM,09:05 PM,Nationals at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",05/10/14,05/11/14,09:05 PM,12:05 AM,FALSE,TRUE,05/10/14,05:05 PM,08:05 PM,FREE,BUSY
05/11/14,01:05 PM,04:05 PM,Nationals at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",05/11/14,05/11/14,04:05 PM,07:05 PM,FALSE,TRUE,05/11/14,12:05 PM,03:05 PM,FREE,BUSY
05/12/14,07:05 PM,10:05 PM,White Sox at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",05/12/14,05/13/14,10:05 PM,01:05 AM,FALSE,TRUE,05/12/14,06:05 PM,09:05 PM,FREE,BUSY
05/13/14,07:05 PM,10:05 PM,White Sox at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",05/13/14,05/14/14,10:05 PM,01:05 AM,FALSE,TRUE,05/13/14,06:05 PM,09:05 PM,FREE,BUSY
05/14/14,12:35 PM,03:35 PM,White Sox at Athletics,O.co Coliseum,"Local Radio: 95.7 FM The Game",05/14/14,05/14/14,03:35 PM,06:35 PM,FALSE,TRUE,05/14/14,11:35 AM,02:35 PM,FREE,BUSY
05/26/14,01:05 PM,04:05 PM,Tigers at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",05/26/14,05/26/14,04:05 PM,07:05 PM,FALSE,TRUE,05/26/14,12:05 PM,03:05 PM,FREE,BUSY
05/27/14,07:05 PM,10:05 PM,Tigers at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",05/27/14,05/28/14,10:05 PM,01:05 AM,FALSE,TRUE,05/27/14,06:05 PM,09:05 PM,FREE,BUSY
05/28/14,07:05 PM,10:05 PM,Tigers at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",05/28/14,05/29/14,10:05 PM,01:05 AM,FALSE,TRUE,05/28/14,06:05 PM,09:05 PM,FREE,BUSY
05/29/14,12:35 PM,03:35 PM,Tigers at Athletics,O.co Coliseum,"Local Radio: 95.7 FM The Game",05/29/14,05/29/14,03:35 PM,06:35 PM,FALSE,TRUE,05/29/14,11:35 AM,02:35 PM,FREE,BUSY
05/30/14,07:05 PM,10:05 PM,Angels at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",05/30/14,05/31/14,10:05 PM,01:05 AM,FALSE,TRUE,05/30/14,06:05 PM,09:05 PM,FREE,BUSY
05/31/14,07:05 PM,10:05 PM,Angels at Athletics,O.co Coliseum,"Local TV: CSNCA -- MLBN ----- Local Radio: 95.7 FM The Game -- KIQI 1010",05/31/14,06/01/14,10:05 PM,01:05 AM,FALSE,TRUE,05/31/14,06:05 PM,09:05 PM,FREE,BUSY
06/01/14,01:05 PM,04:05 PM,Angels at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",06/01/14,06/01/14,04:05 PM,07:05 PM,FALSE,TRUE,06/01/14,12:05 PM,03:05 PM,FREE,BUSY
06/13/14,07:05 PM,10:05 PM,Yankees at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",06/13/14,06/14/14,10:05 PM,01:05 AM,FALSE,TRUE,06/13/14,06:05 PM,09:05 PM,FREE,BUSY
06/14/14,07:05 PM,10:05 PM,Yankees at Athletics,O.co Coliseum,"Local TV: CSNCA -- MLBN ----- Local Radio: 95.7 FM The Game -- KIQI 1010",06/14/14,06/15/14,10:05 PM,01:05 AM,FALSE,TRUE,06/14/14,06:05 PM,09:05 PM,FREE,BUSY
06/15/14,01:05 PM,04:05 PM,Yankees at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",06/15/14,06/15/14,04:05 PM,07:05 PM,FALSE,TRUE,06/15/14,12:05 PM,03:05 PM,FREE,BUSY
06/16/14,07:05 PM,10:05 PM,Rangers at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",06/16/14,06/17/14,10:05 PM,01:05 AM,FALSE,TRUE,06/16/14,06:05 PM,09:05 PM,FREE,BUSY
06/17/14,07:05 PM,10:05 PM,Rangers at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",06/17/14,06/18/14,10:05 PM,01:05 AM,FALSE,TRUE,06/17/14,06:05 PM,09:05 PM,FREE,BUSY
06/18/14,12:35 PM,03:35 PM,Rangers at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game",06/18/14,06/18/14,03:35 PM,06:35 PM,FALSE,TRUE,06/18/14,11:35 AM,02:35 PM,FREE,BUSY
06/19/14,07:05 PM,10:05 PM,Red Sox at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",06/19/14,06/20/14,10:05 PM,01:05 AM,FALSE,TRUE,06/19/14,06:05 PM,09:05 PM,FREE,BUSY
06/20/14,07:05 PM,10:05 PM,Red Sox at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",06/20/14,06/21/14,10:05 PM,01:05 AM,FALSE,TRUE,06/20/14,06:05 PM,09:05 PM,FREE,BUSY
06/21/14,01:05 PM,04:05 PM,Red Sox at Athletics,O.co Coliseum,"Local TV: CSNCA -- MLBN ----- Local Radio: 95.7 FM The Game -- KIQI 1010",06/21/14,06/21/14,04:05 PM,07:05 PM,FALSE,TRUE,06/21/14,12:05 PM,03:05 PM,FREE,BUSY
06/22/14,01:05 PM,04:05 PM,Red Sox at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",06/22/14,06/22/14,04:05 PM,07:05 PM,FALSE,TRUE,06/22/14,12:05 PM,03:05 PM,FREE,BUSY
07/03/14,06:05 PM,09:05 PM,Blue Jays at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",07/03/14,07/04/14,09:05 PM,12:05 AM,FALSE,TRUE,07/03/14,05:05 PM,08:05 PM,FREE,BUSY
07/04/14,01:05 PM,04:05 PM,Blue Jays at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",07/04/14,07/04/14,04:05 PM,07:05 PM,FALSE,TRUE,07/04/14,12:05 PM,03:05 PM,FREE,BUSY
07/05/14,07:05 PM,10:05 PM,Blue Jays at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",07/05/14,07/06/14,10:05 PM,01:05 AM,FALSE,TRUE,07/05/14,06:05 PM,09:05 PM,FREE,BUSY
07/06/14,01:05 PM,04:05 PM,Blue Jays at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",07/06/14,07/06/14,04:05 PM,07:05 PM,FALSE,TRUE,07/06/14,12:05 PM,03:05 PM,FREE,BUSY
07/07/14,07:05 PM,10:05 PM,Giants at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",07/07/14,07/08/14,10:05 PM,01:05 AM,FALSE,TRUE,07/07/14,06:05 PM,09:05 PM,FREE,BUSY
07/08/14,07:05 PM,10:05 PM,Giants at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",07/08/14,07/09/14,10:05 PM,01:05 AM,FALSE,TRUE,07/08/14,06:05 PM,09:05 PM,FREE,BUSY
07/15/14,03:33 AM,03:33 AM,NL All-Stars at AL All-Stars,Target Field,,07/15/14,07/15/14,06:33 AM,06:33 AM,FALSE,TRUE,07/15/14,02:33 AM,02:33 AM,FREE,BUSY
07/18/14,07:05 PM,10:05 PM,Orioles at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",07/18/14,07/19/14,10:05 PM,01:05 AM,FALSE,TRUE,07/18/14,06:05 PM,09:05 PM,FREE,BUSY
07/19/14,06:05 PM,09:05 PM,Orioles at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",07/19/14,07/20/14,09:05 PM,12:05 AM,FALSE,TRUE,07/19/14,05:05 PM,08:05 PM,FREE,BUSY
07/20/14,01:05 PM,04:05 PM,Orioles at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",07/20/14,07/20/14,04:05 PM,07:05 PM,FALSE,TRUE,07/20/14,12:05 PM,03:05 PM,FREE,BUSY
07/22/14,07:05 PM,10:05 PM,Astros at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",07/22/14,07/23/14,10:05 PM,01:05 AM,FALSE,TRUE,07/22/14,06:05 PM,09:05 PM,FREE,BUSY
07/23/14,07:05 PM,10:05 PM,Astros at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",07/23/14,07/24/14,10:05 PM,01:05 AM,FALSE,TRUE,07/23/14,06:05 PM,09:05 PM,FREE,BUSY
07/24/14,12:35 PM,03:35 PM,Astros at Athletics,O.co Coliseum,"Local Radio: 95.7 FM The Game",07/24/14,07/24/14,03:35 PM,06:35 PM,FALSE,TRUE,07/24/14,11:35 AM,02:35 PM,FREE,BUSY
08/01/14,06:35 PM,09:35 PM,Royals at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/01/14,08/02/14,09:35 PM,12:35 AM,FALSE,TRUE,08/01/14,05:35 PM,08:35 PM,FREE,BUSY
08/02/14,01:05 PM,04:05 PM,Royals at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/02/14,08/02/14,04:05 PM,07:05 PM,FALSE,TRUE,08/02/14,12:05 PM,03:05 PM,FREE,BUSY
08/03/14,01:05 PM,04:05 PM,Royals at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/03/14,08/03/14,04:05 PM,07:05 PM,FALSE,TRUE,08/03/14,12:05 PM,03:05 PM,FREE,BUSY
08/04/14,07:05 PM,10:05 PM,Rays at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/04/14,08/05/14,10:05 PM,01:05 AM,FALSE,TRUE,08/04/14,06:05 PM,09:05 PM,FREE,BUSY
08/05/14,07:05 PM,10:05 PM,Rays at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/05/14,08/06/14,10:05 PM,01:05 AM,FALSE,TRUE,08/05/14,06:05 PM,09:05 PM,FREE,BUSY
08/06/14,12:35 PM,03:35 PM,Rays at Athletics,O.co Coliseum,"Local Radio: 95.7 FM The Game",08/06/14,08/06/14,03:35 PM,06:35 PM,FALSE,TRUE,08/06/14,11:35 AM,02:35 PM,FREE,BUSY
08/07/14,07:05 PM,10:05 PM,Twins at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/07/14,08/08/14,10:05 PM,01:05 AM,FALSE,TRUE,08/07/14,06:05 PM,09:05 PM,FREE,BUSY
08/08/14,07:05 PM,10:05 PM,Twins at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/08/14,08/09/14,10:05 PM,01:05 AM,FALSE,TRUE,08/08/14,06:05 PM,09:05 PM,FREE,BUSY
08/09/14,06:05 PM,09:05 PM,Twins at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/09/14,08/10/14,09:05 PM,12:05 AM,FALSE,TRUE,08/09/14,05:05 PM,08:05 PM,FREE,BUSY
08/10/14,01:05 PM,04:05 PM,Twins at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/10/14,08/10/14,04:05 PM,07:05 PM,FALSE,TRUE,08/10/14,12:05 PM,03:05 PM,FREE,BUSY
08/19/14,07:05 PM,10:05 PM,Mets at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/19/14,08/20/14,10:05 PM,01:05 AM,FALSE,TRUE,08/19/14,06:05 PM,09:05 PM,FREE,BUSY
08/20/14,12:35 PM,03:35 PM,Mets at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/20/14,08/20/14,03:35 PM,06:35 PM,FALSE,TRUE,08/20/14,11:35 AM,02:35 PM,FREE,BUSY
08/22/14,07:05 PM,10:05 PM,Angels at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/22/14,08/23/14,10:05 PM,01:05 AM,FALSE,TRUE,08/22/14,06:05 PM,09:05 PM,FREE,BUSY
08/23/14,06:05 PM,09:05 PM,Angels at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/23/14,08/24/14,09:05 PM,12:05 AM,FALSE,TRUE,08/23/14,05:05 PM,08:05 PM,FREE,BUSY
08/24/14,01:05 PM,04:05 PM,Angels at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",08/24/14,08/24/14,04:05 PM,07:05 PM,FALSE,TRUE,08/24/14,12:05 PM,03:05 PM,FREE,BUSY
09/01/14,01:05 PM,04:05 PM,Mariners at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",09/01/14,09/01/14,04:05 PM,07:05 PM,FALSE,TRUE,09/01/14,12:05 PM,03:05 PM,FREE,BUSY
09/02/14,07:05 PM,10:05 PM,Mariners at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",09/02/14,09/03/14,10:05 PM,01:05 AM,FALSE,TRUE,09/02/14,06:05 PM,09:05 PM,FREE,BUSY
09/03/14,12:35 PM,03:35 PM,Mariners at Athletics,O.co Coliseum,"Local Radio: 95.7 FM The Game",09/03/14,09/03/14,03:35 PM,06:35 PM,FALSE,TRUE,09/03/14,11:35 AM,02:35 PM,FREE,BUSY
09/05/14,07:05 PM,10:05 PM,Astros at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",09/05/14,09/06/14,10:05 PM,01:05 AM,FALSE,TRUE,09/05/14,06:05 PM,09:05 PM,FREE,BUSY
09/06/14,01:05 PM,04:05 PM,Astros at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",09/06/14,09/06/14,04:05 PM,07:05 PM,FALSE,TRUE,09/06/14,12:05 PM,03:05 PM,FREE,BUSY
09/07/14,01:05 PM,04:05 PM,Astros at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",09/07/14,09/07/14,04:05 PM,07:05 PM,FALSE,TRUE,09/07/14,12:05 PM,03:05 PM,FREE,BUSY
09/16/14,07:05 PM,10:05 PM,Rangers at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",09/16/14,09/17/14,10:05 PM,01:05 AM,FALSE,TRUE,09/16/14,06:05 PM,09:05 PM,FREE,BUSY
09/17/14,07:05 PM,10:05 PM,Rangers at Athletics,O.co Coliseum,"Local Radio: 95.7 FM The Game -- KIQI 1010",09/17/14,09/18/14,10:05 PM,01:05 AM,FALSE,TRUE,09/17/14,06:05 PM,09:05 PM,FREE,BUSY
09/18/14,12:35 PM,03:35 PM,Rangers at Athletics,O.co Coliseum,"Local Radio: 95.7 FM The Game",09/18/14,09/18/14,03:35 PM,06:35 PM,FALSE,TRUE,09/18/14,11:35 AM,02:35 PM,FREE,BUSY
09/19/14,06:35 PM,09:35 PM,Phillies at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",09/19/14,09/20/14,09:35 PM,12:35 AM,FALSE,TRUE,09/19/14,05:35 PM,08:35 PM,FREE,BUSY
09/20/14,01:05 PM,04:05 PM,Phillies at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",09/20/14,09/20/14,04:05 PM,07:05 PM,FALSE,TRUE,09/20/14,12:05 PM,03:05 PM,FREE,BUSY
09/21/14,01:05 PM,04:05 PM,Phillies at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",09/21/14,09/21/14,04:05 PM,07:05 PM,FALSE,TRUE,09/21/14,12:05 PM,03:05 PM,FREE,BUSY
09/22/14,07:05 PM,10:05 PM,Angels at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",09/22/14,09/23/14,10:05 PM,01:05 AM,FALSE,TRUE,09/22/14,06:05 PM,09:05 PM,FREE,BUSY
09/23/14,07:05 PM,10:05 PM,Angels at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game -- KIQI 1010",09/23/14,09/24/14,10:05 PM,01:05 AM,FALSE,TRUE,09/23/14,06:05 PM,09:05 PM,FREE,BUSY
09/24/14,12:35 PM,03:35 PM,Angels at Athletics,O.co Coliseum,"Local TV: CSNCA ----- Local Radio: 95.7 FM The Game",09/24/14,09/24/14,03:35 PM,06:35 PM,FALSE,TRUE,09/24/14,11:35 AM,02:35 PM,FREE,BUSY